TransactionID,Date,CustomerID,CustomerName,CustomerCity,CustomerCountry,ProductID,ProductName,ProductCategory,ProductSubcategory,UnitPrice,Quantity,TotalAmount
T000054,2023-01-03,C0640,Emily Taylor,Chicago,France,P0063,Wireless Monitor,Home & Garden,Decor,177.46,4,709.84
T000055,2023-07-11,C0832,Emily Moore,Philadelphia,Brazil,P0062,Smart Tablet,Sports & Outdoors,Water Sports,465.97,1,465.97
T000056,2023-06-24,C0082,Emily Brown,San Antonio,Spain,P0037,Premium Mouse,Electronics,Cameras,752.24,1,752.24
T000057,2023-10-22,C0014,William Miller,Dallas,UK,P0212,Portable Mouse,Home & Garden,Kitchenware,521.75,3,1565.25
T000058,2023-09-15,C0109,William Moore,Houston,USA,P0480,Basic Keyboard,Home & Garden,Furniture,212.68,3,638.04
T000059,2023-12-25,C0227,Sarah Johnson,Phoenix,Japan,P0054,Wireless Tablet,Books,Magazines,839.31,1,839.31
T000060,2023-11-05,C0724,Mary Brown,San Jose,Brazil,P0497,Deluxe Laptop,Home & Garden,Kitchenware,157.01,5,785.05
T000061,2023-11-15,C0679,Lisa Johnson,San Jose,Mexico,P0468,Ultra Speaker,Books,Non-fiction,121.63,1,121.63
T000062,2023-08-27,C0359,Sarah Wilson,Houston,Spain,P0039,Portable Laptop,Books,Magazines,506.11,4,2024.44
T000063,2023-06-08,C0377,William Johnson,Philadelphia,Australia,P0308,Wireless Smartphone,Electronics,Computers,787.91,3,2363.73
T000064,2023-06-17,C0713,Jane Davis,New York,Australia,P0358,Portable Monitor,Sports & Outdoors,Camping,559.39,5,2796.95
T000065,2023-05-22,C0066,Sarah Wilson,Houston,Spain,P0059,Wireless Keyboard,Electronics,Accessories,434.96,1,434.96
T000066,2023-08-12,C0505,David Moore,San Diego,Japan,P0050,Wireless Tablet,Electronics,Cameras,415.59,4,1662.36
T000067,2023-04-14,C0567,Emily Smith,San Jose,Canada,P0361,Basic Smartwatch,Sports & Outdoors,Water Sports,734.15,3,2202.45
T000068,2023-05-29,C0786,Robert Taylor,Chicago,Japan,P0058,Premium Headphones,Sports & Outdoors,Fitness,968.64,5,4843.2
T000069,2023-04-28,C0650,Michael Wilson,San Jose,Mexico,P0032,Smart Smartphone,Books,Magazines,312.11,5,1560.55
T000070,2023-04-29,C0978,John Smith,San Diego,Canada,P0394,Wireless Speaker,Clothing,Shoes,435.97,5,2179.85
T000071,2023-07-07,C0737,Jane Davis,San Antonio,Japan,P0416,Smart Monitor,Books,Non-fiction,715.4,5,3577.0
T000072,2023-06-16,C0856,Emily Brown,Philadelphia,USA,P0471,Basic Tablet,Clothing,Accessories,707.78,2,1415.56
T000073,2023-06-11,C0191,Emily Thompson,San Jose,Mexico,P0035,Super Smartphone,Sports & Outdoors,Cycling,321.31,5,1606.55
T000074,2023-10-09,C0520,Jane Moore,Chicago,France,P0276,Basic Headphones,Home & Garden,Bedding,67.14,3,201.42
T000075,2023-10-17,C0394,Jane Brown,Phoenix,Canada,P0125,Portable Keyboard,Books,Fiction,366.06,3,1098.18
T000076,2023-01-02,C0402,Mary Smith,Houston,USA,P0500,Ergonomic Smartphone,Books,Fiction,399.92,2,799.84
T000077,2023-06-07,C0324,Michael Brown,San Diego,Germany,P0374,Wireless Headphones,Sports & Outdoors,Cycling,348.85,5,1744.25
T000078,2023-08-07,C0227,Lisa Davis,Chicago,UK,P0411,Basic Smartphone,Clothing,Children's,472.3,3,1416.9
T000079,2023-06-01,C0280,Emily Brown,Philadelphia,Australia,P0481,Wireless Smartphone,Sports & Outdoors,Fitness,470.14,4,1880.56
T000080,2023-11-19,C0848,Mary Davis,Los Angeles,France,P0077,Deluxe Headphones,Home & Garden,Decor,24.43,1,24.43
T000081,2023-05-30,C0029,Michael Brown,New York,UK,P0357,Wireless Monitor,Clothing,Accessories,922.92,5,4614.6
T000082,2023-04-17,C0127,Lisa Moore,Dallas,Canada,P0324,Portable Speaker,Clothing,Women's,864.53,1,864.53
T000083,2023-05-14,C0401,William Moore,San Antonio,France,P0266,Smart Smartwatch,Books,Children's Books,545.61,2,1091.22
T000084,2023-05-10,C0586,Mary Thompson,San Antonio,France,P0231,Eco-friendly Smartwatch,Books,Textbooks,724.12,1,724.12
T000085,2023-04-02,C0794,Michael Smith,Dallas,Japan,P0409,Wireless Camera,Sports & Outdoors,Water Sports,127.93,2,255.86
T000086,2023-07-11,C0560,Michael Thompson,Phoenix,Spain,P0418,Basic Headphones,Clothing,Children's,209.04,5,1045.2
T000087,2023-08-18,C0750,Mary Anderson,San Antonio,France,P0258,Wireless Tablet,Sports & Outdoors,Fitness,158.32,4,633.28
T000088,2023-05-22,C0672,David Taylor,Dallas,Canada,P0381,Deluxe Monitor,Clothing,Shoes,636.33,5,3181.65
T000089,2023-10-25,C0238,Mary Taylor,Chicago,Australia,P0056,Premium Laptop,Sports & Outdoors,Water Sports,252.17,3,756.51
T000090,2023-03-03,C0987,William Taylor,Phoenix,Australia,P0129,Ultra Keyboard,Sports & Outdoors,Camping,673.46,4,2693.84
T000091,2023-04-04,C0996,David Smith,San Antonio,Mexico,P0062,Deluxe Smartphone,Books,Children's Books,419.16,5,2095.8
T000092,2023-09-30,C0973,Emily Wilson,San Diego,Spain,P0412,Super Smartphone,Clothing,Shoes,476.71,1,476.71
T000093,2023-02-14,C0067,Lisa Thompson,San Antonio,Mexico,P0207,Smart Smartphone,Electronics,Accessories,627.61,3,1882.83
T000094,2023-06-11,C0120,Sarah Moore,San Diego,Spain,P0261,Premium Smartwatch,Sports & Outdoors,Water Sports,793.07,2,1586.14
T000095,2023-09-16,C0285,Robert Anderson,San Jose,Japan,P0167,Smart Keyboard,Home & Garden,Bedding,722.49,2,1444.98
T000096,2023-06-19,C0523,Michael Anderson,Philadelphia,Australia,P0406,Ergonomic Smartphone,Sports & Outdoors,Camping,916.15,1,916.15
T000097,2023-04-11,C0661,Jane Brown,Phoenix,Germany,P0016,Ultra Headphones,Home & Garden,Kitchenware,784.53,3,2353.59
T000098,2023-04-29,C0772,Sarah Wilson,Dallas,Spain,P0371,Super Smartwatch,Books,Fiction,990.25,3,2970.75
T000099,2023-09-10,C0243,Lisa Wilson,San Jose,France,P0141,Premium Tablet,Electronics,Accessories,743.73,1,743.73
T000100,2023-04-21,C0021,Robert Anderson,Los Angeles,Brazil,P0335,Super Mouse,Electronics,Smartphones,672.57,3,2017.71
T000101,2023-04-12,C0410,Michael Wilson,San Diego,Canada,P0229,Deluxe Laptop,Electronics,Computers,499.84,5,2499.2
T000102,2023-05-11,C0047,John Johnson,San Jose,Mexico,P0288,Portable Tablet,Electronics,Computers,670.76,5,3353.8
T000103,2023-05-26,C0782,Robert Thompson,Philadelphia,Australia,P0095,Eco-friendly Headphones,Clothing,Shoes,838.6,5,4193.0
T000104,2023-07-29,C0312,Emily Johnson,Dallas,USA,P0065,Eco-friendly Mouse,Sports & Outdoors,Cycling,231.95,5,1159.75
T000105,2023-04-09,C0319,Lisa Miller,New York,Brazil,P0101,Smart Speaker,Sports & Outdoors,Fitness,593.66,1,593.66
T000106,2023-12-13,C0345,Emily Anderson,San Antonio,Brazil,P0366,Premium Camera,Clothing,Shoes,31.62,5,158.1
T000107,2023-07-29,C0389,John Miller,New York,Germany,P0399,Deluxe Speaker,Home & Garden,Garden,67.19,1,67.19
T000108,2023-05-24,C0701,Sarah Brown,Chicago,Australia,P0302,Eco-friendly Mouse,Electronics,Smartphones,121.5,1,121.5
T000109,2023-01-22,C0850,David Wilson,Los Angeles,Germany,P0295,Deluxe Smartphone,Sports & Outdoors,Camping,967.54,5,4837.7
T000110,2023-12-16,C0277,David Thompson,New York,USA,P0064,Basic Laptop,Electronics,Smartphones,695.26,4,2781.04
T000111,2023-07-17,C0888,William Taylor,Phoenix,Germany,P0408,Ergonomic Laptop,Sports & Outdoors,Team Sports,394.56,2,789.12
T000112,2023-11-28,C0480,Lisa Moore,San Antonio,UK,P0078,Basic Headphones,Clothing,Shoes,487.95,1,487.95
T000113,2023-10-09,C0553,Michael Wilson,Philadelphia,Germany,P0387,Eco-friendly Keyboard,Clothing,Women's,937.73,4,3750.92
T000114,2023-04-07,C0336,Sarah Miller,San Jose,Mexico,P0115,Wireless Smartwatch,Sports & Outdoors,Water Sports,800.6,2,1601.2
T000115,2023-01-31,C0768,Mary Thompson,Phoenix,Japan,P0167,Ergonomic Speaker,Home & Garden,Kitchenware,425.78,4,1703.12
T000116,2023-10-02,C0735,David Miller,Houston,Brazil,P0080,Deluxe Smartphone,Sports & Outdoors,Water Sports,410.99,2,821.98
T000117,2023-11-23,C0473,Sarah Moore,New York,Japan,P0052,Deluxe Camera,Clothing,Children's,726.04,1,726.04
T000118,2023-01-02,C0987,Robert Thompson,Houston,Australia,P0210,Ergonomic Smartwatch,Books,Non-fiction,90.41,5,452.05
T000119,2023-03-01,C0643,Michael Brown,Houston,France,P0201,Ultra Smartwatch,Sports & Outdoors,Water Sports,708.45,3,2125.35
T000120,2023-11-12,C0300,Michael Brown,San Antonio,France,P0307,Basic Mouse,Home & Garden,Furniture,896.52,5,4482.6
T000121,2023-09-07,C0968,Emily Moore,San Diego,USA,P0197,Premium Smartwatch,Electronics,Cameras,804.73,4,3218.92
T000122,2023-10-11,C0265,Robert Moore,New York,Mexico,P0372,Ultra Tablet,Clothing,Accessories,913.98,5,4569.9
T000123,2023-09-01,C0958,Michael Smith,New York,France,P0471,Super Camera,Sports & Outdoors,Cycling,106.92,1,106.92
T000124,2023-01-13,C0429,John Smith,Houston,USA,P0040,Wireless Camera,Electronics,Cameras,111.69,5,558.45
T000125,2023-01-14,C0635,Emily Miller,San Antonio,Mexico,P0237,Super Smartwatch,Books,Fiction,336.1,2,672.2
T000126,2023-06-22,C0061,Sarah Wilson,Houston,Australia,P0199,Ergonomic Tablet,Electronics,Smartphones,118.48,5,592.4
T000127,2023-02-17,C0867,John Smith,New York,France,P0364,Super Keyboard,Sports & Outdoors,Water Sports,659.14,4,2636.56
T000128,2023-03-23,C0095,Sarah Miller,Dallas,Brazil,P0352,Ergonomic Monitor,Clothing,Accessories,631.64,1,631.64
T000129,2023-08-31,C0485,Emily Smith,San Jose,Brazil,P0327,Smart Mouse,Electronics,Audio,213.39,2,426.78
T000130,2023-04-23,C0344,Sarah Wilson,Phoenix,USA,P0318,Eco-friendly Speaker,Home & Garden,Decor,955.14,1,955.14
T000131,2023-11-06,C0236,Emily Taylor,New York,Mexico,P0045,Portable Headphones,Home & Garden,Furniture,908.35,2,1816.7
T000132,2023-12-30,C0043,David Brown,New York,UK,P0041,Ergonomic Mouse,Electronics,Audio,303.3,2,606.6
T000133,2023-05-27,C0308,John Davis,Chicago,Mexico,P0153,Ergonomic Smartwatch,Books,Textbooks,565.44,2,1130.88
T000134,2023-05-19,C0764,Mary Johnson,New York,USA,P0423,Smart Smartwatch,Electronics,Smartphones,211.0,2,422.0
T000135,2023-02-11,C0611,William Thompson,New York,Germany,P0345,Ergonomic Tablet,Sports & Outdoors,Fitness,380.5,3,1141.5
T000136,2023-08-16,C0226,Lisa Moore,Phoenix,Brazil,P0319,Portable Smartphone,Electronics,Cameras,474.02,2,948.04
T000137,2023-07-16,C0669,Robert Johnson,Philadelphia,Canada,P0492,Premium Monitor,Electronics,Smartphones,631.62,1,631.62
T000138,2023-05-01,C0573,Robert Brown,San Antonio,France,P0182,Basic Smartwatch,Home & Garden,Furniture,571.83,2,1143.66
T000139,2023-10-03,C0449,Michael Smith,Los Angeles,Mexico,P0006,Ergonomic Smartwatch,Home & Garden,Decor,423.28,5,2116.4
T000140,2023-04-15,C0191,Michael Anderson,Phoenix,Brazil,P0272,Ultra Smartphone,Sports & Outdoors,Camping,712.57,5,3562.85
T000141,2023-12-06,C0576,William Moore,Chicago,Spain,P0354,Basic Keyboard,Sports & Outdoors,Fitness,884.91,2,1769.82
T000142,2023-12-11,C0105,Michael Miller,San Antonio,Brazil,P0029,Premium Smartphone,Books,Non-fiction,303.78,4,1215.12
T000143,2023-11-01,C0913,Sarah Anderson,San Diego,Australia,P0070,Super Headphones,Clothing,Men's,395.93,5,1979.65
T000144,2023-12-27,C0858,Emily Moore,New York,UK,P0230,Premium Camera,Sports & Outdoors,Fitness,882.21,2,1764.42
T000145,2023-03-14,C0818,Lisa Wilson,Chicago,Japan,P0470,Premium Speaker,Electronics,Computers,462.32,2,924.64
T000146,2023-08-05,C0042,Jane Moore,San Jose,UK,P0278,Premium Monitor,Home & Garden,Kitchenware,359.54,3,1078.62
T000147,2023-08-17,C0239,Lisa Miller,San Antonio,Mexico,P0362,Premium Tablet,Books,Children's Books,158.03,5,790.15
T000148,2023-10-13,C0284,John Smith,Dallas,Australia,P0085,Portable Tablet,Home & Garden,Kitchenware,598.8,3,1796.4
T000149,2023-03-20,C0188,Robert Smith,Los Angeles,Australia,P0392,Basic Mouse,Clothing,Children's,938.66,4,3754.64
T000150,2023-08-06,C0447,Mary Anderson,Philadelphia,Mexico,P0406,Basic Keyboard,Sports & Outdoors,Camping,90.93,3,272.79
T000151,2023-01-08,C0649,Michael Taylor,New York,Spain,P0290,Basic Laptop,Books,Non-fiction,555.59,2,1111.18
T000152,2023-11-26,C0596,Mary Johnson,Philadelphia,Japan,P0422,Eco-friendly Smartphone,Books,Magazines,30.84,2,61.68
T000153,2023-12-15,C0691,Sarah Johnson,Philadelphia,Australia,P0426,Ergonomic Smartphone,Sports & Outdoors,Camping,278.71,1,278.71
T000154,2023-03-29,C0669,John Anderson,Phoenix,Australia,P0426,Ergonomic Tablet,Clothing,Men's,556.41,5,2782.05
T000155,2023-02-01,C0152,Emily Johnson,Dallas,Germany,P0370,Super Monitor,Sports & Outdoors,Fitness,234.63,1,234.63
T000156,2023-11-04,C0480,Mary Anderson,Los Angeles,Japan,P0248,Ultra Speaker,Books,Non-fiction,465.33,2,930.66
T000157,2023-02-05,C0057,Sarah Miller,Philadelphia,Spain,P0276,Deluxe Smartwatch,Clothing,Shoes,964.3,3,2892.9
T000158,2023-04-09,C0156,Robert Anderson,Chicago,Mexico,P0079,Wireless Speaker,Clothing,Shoes,626.99,2,1253.98
T000159,2023-04-26,C0957,Emily Miller,San Jose,Spain,P0321,Portable Speaker,Clothing,Men's,725.44,5,3627.2
T000160,2023-12-20,C0282,Lisa Brown,Dallas,Canada,P0253,Portable Monitor,Clothing,Accessories,72.33,2,144.66
T000161,2023-12-07,C0384,Sarah Thompson,San Diego,Mexico,P0105,Basic Keyboard,Home & Garden,Garden,264.48,5,1322.4
T000162,2023-08-08,C0449,David Thompson,New York,Mexico,P0316,Super Laptop,Sports & Outdoors,Fitness,954.57,2,1909.14
T000163,2023-11-21,C0679,Mary Smith,San Antonio,Canada,P0488,Smart Monitor,Sports & Outdoors,Team Sports,506.85,2,1013.7
T000164,2023-06-26,C0291,John Miller,Phoenix,Spain,P0267,Wireless Speaker,Electronics,Accessories,384.34,4,1537.36
T000165,2023-05-04,C0450,Emily Brown,Philadelphia,UK,P0450,Wireless Tablet,Home & Garden,Kitchenware,836.17,1,836.17
T000166,2023-08-19,C0012,John Brown,Los Angeles,Mexico,P0497,Basic Mouse,Electronics,Computers,97.49,3,292.47
T000167,2023-12-09,C0079,Sarah Wilson,Chicago,Mexico,P0223,Ultra Headphones,Books,Fiction,882.3,4,3529.2
T000168,2023-08-17,C0376,David Wilson,Los Angeles,Germany,P0340,Smart Laptop,Sports & Outdoors,Team Sports,672.48,2,1344.96
T000169,2023-01-22,C0521,Jane Wilson,Houston,Brazil,P0198,Basic Monitor,Sports & Outdoors,Team Sports,160.11,1,160.11
T000170,2023-05-08,C0086,Michael Smith,Chicago,Japan,P0440,Ergonomic Monitor,Electronics,Audio,986.87,2,1973.74
T000171,2023-10-27,C0654,Emily Johnson,Philadelphia,USA,P0394,Deluxe Tablet,Sports & Outdoors,Team Sports,286.25,1,286.25
T000172,2023-12-20,C0033,Sarah Wilson,Philadelphia,Australia,P0242,Basic Mouse,Home & Garden,Bedding,971.75,4,3887.0
T000173,2023-02-10,C0156,David Moore,Philadelphia,USA,P0051,Premium Mouse,Home & Garden,Decor,367.18,2,734.36
T000174,2023-06-21,C0908,Michael Brown,Los Angeles,UK,P0273,Premium Tablet,Electronics,Cameras,420.22,2,840.44
T000175,2023-11-25,C0519,Emily Anderson,Phoenix,Canada,P0135,Super Tablet,Sports & Outdoors,Fitness,339.07,2,678.14
T000176,2023-04-26,C0720,William Anderson,San Antonio,Japan,P0197,Ultra Smartphone,Clothing,Women's,198.4,2,396.8
T000177,2023-02-20,C0121,David Moore,Phoenix,Japan,P0444,Ultra Keyboard,Clothing,Shoes,125.26,2,250.52
T000178,2023-02-24,C0593,Sarah Moore,Los Angeles,UK,P0115,Wireless Monitor,Electronics,Cameras,986.12,3,2958.36
T000179,2023-08-04,C0914,David Brown,New York,USA,P0255,Ultra Laptop,Clothing,Children's,268.52,4,1074.08
T000180,2023-03-07,C0939,David Moore,Dallas,USA,P0406,Smart Monitor,Books,Children's Books,697.63,2,1395.26
T000181,2023-10-28,C0617,Lisa Johnson,San Jose,USA,P0023,Wireless Headphones,Clothing,Accessories,381.94,1,381.94
T000182,2023-09-23,C0893,Lisa Davis,San Jose,Brazil,P0132,Premium Headphones,Home & Garden,Garden,989.57,3,2968.71
T000183,2023-04-29,C0247,Lisa Anderson,San Diego,Canada,P0120,Smart Headphones,Books,Fiction,106.84,3,320.52
T000184,2023-07-15,C0685,Michael Moore,Chicago,Mexico,P0402,Eco-friendly Tablet,Electronics,Computers,535.19,5,2675.95
T000185,2023-07-20,C0144,Michael Moore,New York,Germany,P0340,Basic Headphones,Books,Textbooks,255.2,3,765.6
T000186,2023-06-05,C0983,Sarah Wilson,Chicago,Japan,P0159,Ergonomic Mouse,Clothing,Accessories,540.63,1,540.63
T000187,2023-08-29,C0262,Robert Johnson,Chicago,Brazil,P0458,Basic Tablet,Clothing,Accessories,732.17,2,1464.34
T000188,2023-11-09,C0210,Michael Johnson,Dallas,Japan,P0349,Wireless Keyboard,Home & Garden,Furniture,628.76,1,628.76
T000189,2023-07-22,C0401,Robert Moore,Chicago,Australia,P0354,Smart Keyboard,Sports & Outdoors,Cycling,778.6,3,2335.8
T000190,2023-11-06,C0427,Lisa Anderson,San Antonio,Canada,P0042,Portable Smartphone,Electronics,Smartphones,386.27,1,386.27
T000191,2023-05-31,C0870,Emily Johnson,New York,Australia,P0316,Ultra Monitor,Electronics,Accessories,114.1,1,114.1
T000192,2023-06-22,C0402,Sarah Wilson,San Jose,France,P0170,Super Camera,Clothing,Shoes,669.39,3,2008.17
T000193,2023-04-15,C0974,Robert Anderson,Dallas,Japan,P0244,Eco-friendly Smartphone,Electronics,Smartphones,556.12,5,2780.6
T000194,2023-07-20,C0666,Sarah Johnson,San Jose,USA,P0092,Eco-friendly Smartwatch,Clothing,Men's,871.61,4,3486.44
T000195,2023-11-11,C0953,Jane Taylor,Chicago,USA,P0021,Ultra Tablet,Books,Children's Books,993.87,1,993.87
T000196,2023-01-30,C0151,Lisa Johnson,Philadelphia,Canada,P0199,Ergonomic Headphones,Electronics,Computers,634.93,4,2539.72
T000197,2023-10-09,C0667,Robert Smith,Chicago,USA,P0138,Eco-friendly Mouse,Clothing,Accessories,480.47,4,1921.88
T000198,2023-11-20,C0981,Jane Anderson,Phoenix,Brazil,P0395,Wireless Laptop,Books,Fiction,345.23,3,1035.69
T000199,2023-03-19,C0969,Michael Moore,Houston,Germany,P0450,Premium Speaker,Clothing,Children's,743.52,2,1487.04
T000200,2023-11-19,C0310,Robert Taylor,Chicago,UK,P0008,Ergonomic Speaker,Books,Magazines,669.71,4,2678.84
T000201,2023-08-10,C0906,Robert Thompson,San Antonio,Mexico,P0020,Deluxe Tablet,Books,Children's Books,223.29,5,1116.45
T000202,2023-02-22,C0812,Emily Taylor,San Jose,Canada,P0366,Super Monitor,Home & Garden,Furniture,634.57,5,3172.85
T000203,2023-12-05,C0094,Michael Moore,San Diego,Mexico,P0134,Smart Camera,Home & Garden,Bedding,480.53,3,1441.59
T000204,2023-01-07,C0351,Emily Thompson,San Diego,Brazil,P0446,Deluxe Monitor,Sports & Outdoors,Camping,698.84,2,1397.68
T000205,2023-05-16,C0569,David Smith,Chicago,USA,P0076,Smart Tablet,Electronics,Audio,334.25,3,1002.75
T000206,2023-03-10,C0013,Emily Moore,San Diego,Canada,P0236,Basic Smartwatch,Home & Garden,Decor,156.46,2,312.92
T000207,2023-12-16,C0453,William Davis,Los Angeles,Germany,P0077,Wireless Keyboard,Sports & Outdoors,Fitness,714.49,4,2857.96
T000208,2023-12-30,C0515,Robert Miller,Houston,Australia,P0421,Eco-friendly Camera,Home & Garden,Bedding,301.18,4,1204.72
T000209,2023-06-29,C0306,William Davis,Philadelphia,Mexico,P0183,Basic Keyboard,Clothing,Women's,499.12,4,1996.48
